president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,All polls,3/21/20,43.182827,48.450999,37.914656,52.073332,57.506499,46.640166,3/23/20 9:37
Donald Trump,Adults,3/21/20,42.521573,48.359322,36.683824,53.357601,59.044703,47.670499,3/23/20 9:40
Donald Trump,Voters,3/21/20,43.338067,48.189095,38.48704,52.074268,57.671134,46.477402,3/23/20 9:44
Donald Trump,Voters,3/20/20,43.338067,48.189095,38.48704,52.074268,57.671134,46.477402,3/20/20 17:07
Donald Trump,Adults,3/20/20,42.521573,48.359319,36.683827,53.357601,59.044722,47.670479,3/20/20 17:06
Donald Trump,All polls,3/20/20,43.182827,48.450994,37.91466,52.073332,57.506499,46.640166,3/20/20 17:05
Donald Trump,Adults,3/19/20,43.707569,48.811862,38.603275,52.129788,56.243488,48.016087,3/19/20 23:32
Donald Trump,Voters,3/19/20,43.942604,47.991913,39.893295,52.093956,55.668275,48.519638,3/19/20 23:33
Donald Trump,All polls,3/19/20,43.714653,48.521605,38.9077,52.110091,55.920931,48.299251,3/19/20 23:31
Donald Trump,Adults,3/18/20,42.283724,45.597849,38.969599,52.827204,56.603247,49.051161,3/18/20 16:16
Donald Trump,Voters,3/18/20,43.723324,47.647051,39.799598,52.180998,55.808863,48.553133,3/18/20 16:17
Donald Trump,All polls,3/18/20,42.996952,47.04696,38.946944,52.753665,56.375094,49.132237,3/18/20 16:15
Donald Trump,Voters,3/17/20,43.849942,47.84985,39.850034,52.093898,55.803046,48.38475,3/17/20 19:15
Donald Trump,Adults,3/17/20,42.197986,45.523134,38.872837,52.755507,56.579445,48.93157,3/17/20 19:14
Donald Trump,All polls,3/17/20,43.001512,47.097368,38.905655,52.657861,56.325724,48.989998,3/17/20 19:13
Donald Trump,Adults,3/16/20,41.669307,45.25721,38.081404,53.476684,57.531028,49.422339,3/16/20 18:17
